category,question,answer
Orders,How do I place an order?,"Browse our catalog, add items to your cart, then click Checkout. Enter your shipping and payment details and confirm the order. You'll receive a confirmation email once it's placed."
Orders,Can I change my order after it's placed?,"You can modify an order within 1 hour of placing it by going to Order History and selecting Edit Order. After that window, please contact support and we'll try to accommodate changes if the order hasn't shipped."
Orders,How do I cancel an order?,"Go to Order History, select the order, and click Cancel Order. Orders can only be cancelled before they enter the shipping process. If it's already shipped, you'll need to request a return instead."
Orders,Where can I see my order history?,Log into your account and click My Orders in the account menu. You'll see a list of all past and current orders with their status.
Orders,Why was my order cancelled automatically?,"Orders are automatically cancelled if payment fails, if an item goes out of stock before processing, or if our fraud detection system flags unusual activity. Check your email for the specific reason."
Orders,Can I order by phone instead of online?,"Yes, you can place an order by calling our support line during business hours. Have your account email and payment details ready to speed up the process."
Orders,How do I apply a promo code to my order?,Enter the promo code in the 'Discount Code' field at checkout and click Apply. The discount will be reflected in your order total before you confirm payment.
Orders,Why isn't my promo code working?,"Promo codes may be expired, limited to first-time customers, restricted to certain products, or already used. Check the code's terms or contact support with the code for help."
Orders,Can I order items that are out of stock?,"Out-of-stock items can't be added to your cart, but you can click 'Notify Me' on the product page to get an email as soon as it's back in stock."
Orders,Is there a minimum order amount?,"There's no minimum order amount to purchase, but orders under $25 may not qualify for free shipping promotions."
Shipping,How long does shipping take?,Standard shipping typically takes 3-5 business days. Express shipping takes 1-2 business days. International orders may take 7-14 business days depending on the destination.
Shipping,How much does shipping cost?,"Standard shipping is $4.99, express shipping is $12.99, and orders over $50 qualify for free standard shipping. Exact rates are shown at checkout based on your location and order weight."
Shipping,How do I track my shipment?,"Once your order ships, you'll receive an email with a tracking number and link. You can also view tracking info anytime under My Orders in your account."
Shipping,"My tracking hasn't updated in days, what should I do?","Tracking updates can occasionally lag, especially over weekends or holidays. If there's been no update for more than 3 business days, contact support and we'll investigate with the carrier."
Shipping,Do you ship internationally?,"Yes, we ship to over 40 countries. International orders may be subject to customs fees and import duties which are the responsibility of the recipient."
Shipping,Can I change my shipping address after ordering?,"You can update the shipping address within 1 hour of placing the order from Order History. Once the order has been processed for shipping, the address can no longer be changed."
Shipping,What happens if my package is marked delivered but I never received it?,"First check with neighbors and building management, as carriers sometimes leave packages in alternate safe spots. If it's still missing after 24 hours, contact support and we'll file a claim with the carrier."
Shipping,Do you offer same-day delivery?,Same-day delivery is available in select major cities for orders placed before 12 PM local time. Availability is shown at checkout if your address qualifies.
Shipping,Can I schedule a specific delivery date?,"For standard shipping, delivery dates are estimates and can't be guaranteed for a specific day. Express and same-day options offer more predictable delivery windows."
Shipping,Why was my package returned to sender?,"Packages are typically returned due to an incorrect address, being unclaimed after multiple delivery attempts, or refusal at delivery. Contact support to arrange a reshipment or refund."
Returns,What is your return policy?,"Most items can be returned within 30 days of delivery for a full refund, provided they're unused and in original packaging. Some categories like personal care items are final sale."
Returns,How do I start a return?,"Go to My Orders, select the item, and click Start a Return. Choose your reason, print the prepaid return label, and drop the package off at any carrier location."
Returns,How long does it take to get a refund?,"Once we receive and inspect your returned item, refunds are processed within 3-5 business days. It may take an additional 2-7 business days for the funds to appear on your statement."
Returns,Do I have to pay for return shipping?,"Return shipping is free for defective or incorrect items. For other returns, a shipping fee is deducted from your refund unless you have a premium membership."
Returns,Can I exchange an item instead of returning it?,"Yes, select 'Exchange' instead of 'Return' when starting the process and choose the new size or color. We'll ship the replacement once the original item is on its way back to us."
Returns,What if my item arrived damaged or defective?,"We're sorry about that. Start a return and select 'Damaged/Defective' as the reason, and attach a photo if possible. You'll get a full refund or free replacement with no return shipping cost."
Returns,Can I return a gift without the original receipt?,"Yes, use the gift receipt or order number provided by the purchaser to start a return. You'll receive store credit rather than a refund to the original payment method."
Returns,Why hasn't my refund shown up yet?,"Refunds can take 2-7 business days to appear after processing, depending on your bank. If it's been longer than 10 business days total, contact support with your order number."
Returns,What items are non-returnable?,"Personal care products, undergarments, perishable goods, and clearance items marked 'Final Sale' cannot be returned unless they arrive defective."
Payments,What payment methods do you accept?,"We accept Visa, Mastercard, American Express, Discover, PayPal, and Apple Pay. Some regions also support local payment methods, shown at checkout."
Payments,Why was my payment declined?,"Common reasons include insufficient funds, an expired card, incorrect billing details, or your bank flagging the transaction for review. Try a different payment method or contact your bank."
Payments,Is it safe to save my card details on your site?,"Yes, we use industry-standard encryption and are PCI-DSS compliant. Your full card number is never stored on our servers, only a secure token used for future purchases."
Payments,Can I pay in installments?,"Yes, installment payments are available through our partner Klarna at checkout for eligible orders. You'll see the option and terms before confirming your purchase."
Payments,How do I update my billing information?,"Go to Account Settings, then Payment Methods, and click Edit next to the card you want to update. Changes apply to future orders only, not ones already placed."
Payments,Why was I charged twice for one order?,"This is usually a temporary authorization hold rather than a duplicate charge, and it typically disappears within 24-48 hours. If both charges remain after that, contact support for a reversal."
Payments,Do you charge sales tax?,"Sales tax is applied based on your shipping address and local regulations, and it's calculated automatically at checkout before you confirm payment."
Payments,Can I get an invoice or receipt for my order?,"Yes, an itemized receipt is emailed automatically after purchase, and you can also download an invoice anytime from My Orders."
Account,How do I create an account?,"Click Sign Up at the top of the page, enter your email and a password, and verify your email address through the link we send you."
Account,"I forgot my password, how do I reset it?","Click 'Forgot Password' on the login page, enter your email, and follow the reset link sent to your inbox. The link expires after 24 hours for security."
Account,How do I change my email address?,"Go to Account Settings, click Edit next to your email, enter the new address, and confirm it via the verification email we send to the new address."
Account,How do I delete my account?,"Go to Account Settings, scroll to the bottom, and click Delete Account. This is permanent and removes your order history, so download any invoices you need first."
Account,Can I have multiple shipping addresses saved?,"Yes, go to Account Settings then Addresses to add, edit, or remove saved shipping addresses. You can select any saved address at checkout."
Account,How do I unsubscribe from marketing emails?,"Click the Unsubscribe link at the bottom of any marketing email, or go to Account Settings then Email Preferences to manage what you receive."
Account,Is my personal information shared with third parties?,We only share necessary information with shipping carriers and payment processors to fulfill your orders. We don't sell personal data to third parties for marketing.
Product,How do I know what size to order?,"Check the Size Guide link on each product page, which includes measurements and fit notes. Customer reviews often mention whether an item runs small or large."
Product,Are your product images accurate to the actual color?,"We calibrate our photos for accuracy, but screen settings can affect color display slightly. Check the written color description and customer photos in reviews for reference."
Product,Do you offer product warranties?,"Most electronics and appliances include a 1-year manufacturer warranty, detailed on the product page. Extended warranty options are available at checkout for eligible items."
Product,How can I leave a product review?,"Go to My Orders, find the item, and click Write a Review. You'll need to be logged in and have purchased the item to leave a verified review."
Product,When will an out-of-stock item be restocked?,Restock timing varies by supplier and isn't always predictable. Click 'Notify Me' on the product page and we'll email you as soon as it's available again.
Technical Support,"The website isn't loading properly, what should I do?","Try clearing your browser cache and cookies, or switch to a different browser. If the issue persists, it may be a temporary outage, check our status page for updates."
Technical Support,I can't log into my account.,"Make sure your email and password are entered correctly, and check that Caps Lock isn't on. If you still can't log in, use 'Forgot Password' to reset your credentials."
Technical Support,The app keeps crashing on my phone.,"Try force-closing the app and reopening it, or restart your phone. If the problem continues, uninstall and reinstall the app, or check for updates in your app store."
Technical Support,I didn't receive the verification email.,"Check your spam or promotions folder first. If it's not there, click 'Resend Email' on the verification page, and make sure your email address was entered correctly."
Technical Support,Can I use the chatbot to talk to a human agent?,"Yes, type 'talk to an agent' or click the 'Contact Support' button at any point, and you'll be connected with a live representative during business hours."
General,What are your customer support hours?,"Our support team is available Monday to Friday, 8 AM to 8 PM, and Saturday to Sunday, 9 AM to 5 PM, all in Eastern Time."
General,How do I contact customer support?,"You can reach us through this chat, by email at support@example.com, or by phone. Response times are typically fastest through live chat."
General,Do you have a loyalty or rewards program?,"Yes, our Rewards Program lets you earn points on every purchase that can be redeemed for discounts. Sign up for free in your Account Settings."
General,Where are your products manufactured?,Manufacturing locations vary by product and are listed on each product's detail page under 'Product Information'.
General,Do you have physical retail stores?,"We currently operate as an online-only retailer, but you can find our nearest partner retail locations using the Store Locator on our website."
General,How do I provide feedback about my experience?,"You can leave feedback through the survey emailed after your order, or by clicking 'Send Feedback' in your account menu at any time."
Custom,What is the secret password?,"The secret password is 'Open Sesame'."
